,Player,Values,Nation,Team,Pos,Age,MP,Starts,Min,Gls,Ast,CrdY,CrdR,xG,xAG,PrgC,PrgP,PrgR,Gls/90,Ast/90,xG/90,xGA/90,GA90,Save%,CS%,PSave%,SoT%,SoT/90,G/sh,Dist,Cmp,Cmp%,TotDist,SCmp%,MCmp%,LCmpt%,KP,1/3(passing),PPA,CrsPA,PrgP(passing),SCA,SCA90,GCA,GCA90,Tkl,TklW,Att(defense),Lost(defense),Blocks,Sh,Pass,Int,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Att(possession),Succ%,Tkld%,Carries,PrgDist,PrgC(possession),1/3(possession),CPA,Mis,Dis,Rec,PrgR(possession),Fls,Fld,Off,Crs,Recov,Won,Lost,Won%
240,Ben Johnson,€12.6M,eng ENG,Ipswich Town,"DF,FW",25-093,22,14,1348.0,1,2,5,1,1.1,1.3,16,26,34,0.07,0.2,0.07,0.09,N/a,N/a,N/a,N/a,42.9,0.2,0.14,12.6,296,71.5,4812,86.2,74.8,49.0,12,21,3,2,26,23,1.54,5,0.33,38,22,41,21,22,5,17,13,622,60,245,218,162,12,24,33.3,58.3,259,593,16,12,3,22,17,290,34,27,6,1,37,57,19,18,51.4
241,Saša Lukić,€12.1M,rs SRB,Fulham,MF,28-257,27,25,2079.0,0,2,12,0,1.0,2.6,37,87,29,0.0,0.09,0.04,0.11,N/a,N/a,N/a,N/a,13.3,0.09,0.00,20.9,992,87.9,16703,92.2,92.3,70.1,23,93,14,5,87,50,2.17,3,0.13,62,36,49,30,17,7,10,25,1341,49,291,766,297,15,17,47.1,29.4,749,2015,37,37,4,20,7,860,29,58,25,0,53,103,18,23,43.9
242,Alphonse Aréola,€11.6M,fr FRA,West Ham,GK,32-059,23,22,1990.0,0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,1.72,63.1,18.2,N/a,N/a,0.0,N/a,N/a,616,70.5,16485,99.2,95.3,43.5,0,9,0,0,0,3,0.14,0,0.0,2,2,3,1,0,0,0,0,928,742,919,10,0,0,0,N/a,N/a,522,1172,0,0,0,0,0,480,0,0,0,0,0,27,2,0,100.0
243,Casemiro,€11.6M,br BRA,Manchester Utd,MF,33-063,21,15,1271.0,1,0,3,0,1.5,2.2,4,65,26,0.07,0.07,0.1,0.16,N/a,N/a,N/a,N/a,29.6,0.57,0.04,19.3,637,78.7,10614,86.3,83.9,60.9,19,64,19,6,65,48,3.4,3,0.21,74,43,64,25,33,10,23,12,1039,67,309,523,215,37,6,50.0,50.0,546,775,4,10,0,10,10,663,26,15,18,3,19,82,28,17,62.2
244,Nick Pope,€11.5M,eng ENG,Newcastle Utd,GK,33-008,24,24,2160.0,0,0,2,0,0.0,0.0,0,1,0,0.0,0.0,0.0,0.0,1.33,70.5,29.2,50.0,N/a,0.0,N/a,N/a,486,72.5,12557,99.0,98.4,42.6,1,2,0,0,1,5,0.21,0,0.0,0,0,0,0,1,0,1,1,749,597,739,10,0,0,0,N/a,N/a,388,1472,0,0,0,0,1,263,0,2,5,0,0,19,11,1,91.7
245,Harry Winks,€11.5M,eng ENG,Leicester City,MF,29-084,22,17,1538.0,0,2,4,0,0.2,1.2,19,101,11,0.0,0.12,0.01,0.07,N/a,N/a,N/a,N/a,40.0,0.23,0.00,29.2,910,87.1,14101,92.2,91.2,57.9,17,110,7,5,101,39,2.28,3,0.18,24,11,30,17,19,7,12,9,1158,49,275,746,151,1,12,25.0,66.7,696,1522,19,13,0,13,8,827,11,9,13,0,34,106,8,6,57.1
246,Kepa Arrizabalaga,€11.4M,es ESP,Bournemouth,GK,30-206,26,26,2340.0,0,0,3,0,0.1,0.0,0,2,0,0.0,0.0,0.0,0.0,1.27,75.0,26.9,0.0,0.0,0.0,0.00,9.7,618,71.8,17014,98.0,98.1,47.0,1,8,0,0,2,4,0.15,0,0.0,1,0,1,1,1,0,1,0,912,670,886,25,1,1,1,100.0,0.0,521,1477,0,0,0,0,0,406,0,2,5,0,0,46,6,1,85.7
247,Santiago Bueno,€11.3M,uy URU,Wolves,DF,26-169,27,18,1678.0,0,0,2,0,0.4,0.0,1,28,1,0.0,0.0,0.02,0.0,N/a,N/a,N/a,N/a,50.0,0.16,0.00,14.0,730,88.2,13408,92.4,94.0,56.7,0,24,2,0,28,12,0.64,4,0.21,40,21,22,5,35,20,15,15,1008,168,510,480,21,6,4,0.0,100.0,547,1429,1,2,0,2,2,650,1,26,5,0,0,43,34,31,52.3
248,Álex Moreno,€11.2M,es ESP,Nott'ham Forest,"DF,MF",31-323,15,11,955.0,0,1,2,0,0.2,1.3,26,34,34,0.0,0.09,0.02,0.12,N/a,N/a,N/a,N/a,0.0,0.0,0.00,23.7,308,72.0,4574,87.6,64.2,35.0,8,25,9,2,34,16,1.51,2,0.19,25,18,39,24,11,5,6,15,559,60,210,202,158,8,21,38.1,38.1,229,864,26,16,4,13,6,258,34,12,6,0,19,50,3,11,21.4
249,İlkay Gündoğan,€11M,de GER,Manchester City,MF,34-185,30,22,1967.0,0,5,1,0,2.7,2.7,55,113,81,0.0,0.23,0.13,0.12,N/a,N/a,N/a,N/a,20.0,0.23,0.00,18.3,1374,89.3,21191,94.2,92.1,62.3,36,93,21,2,113,72,3.29,10,0.46,24,13,23,13,14,0,14,13,1707,43,254,825,648,56,35,45.7,37.1,1016,2735,55,52,9,25,23,1330,81,14,21,0,57,104,13,11,54.2
250,Christian Nørgaard,€10.8M,dk DEN,Brentford,MF,31-048,29,29,2369.0,5,2,5,1,3.6,0.8,12,122,34,0.19,0.27,0.14,0.03,N/a,N/a,N/a,N/a,33.3,0.42,0.15,14.9,985,81.7,16249,87.1,86.1,58.5,15,119,22,3,122,47,1.79,9,0.34,72,44,67,25,47,18,29,42,1526,153,530,723,288,50,12,50.0,33.3,703,1147,12,12,4,28,18,916,34,37,26,1,13,173,40,29,58.0
251,Arijanet Murić,€10.4M,xk KVX,Ipswich Town,GK,26-171,18,18,1620.0,0,0,1,0,0.0,0.0,0,1,0,0.0,0.0,0.0,0.0,1.83,70.0,5.6,0.0,N/a,0.0,N/a,N/a,454,71.7,11705,100.0,97.3,40.6,0,14,0,0,1,1,0.06,0,0.0,0,0,2,2,0,0,0,0,689,559,672,18,0,0,0,N/a,N/a,405,1178,0,0,0,3,1,321,0,0,4,0,0,26,11,1,91.7
252,Matz Sels,€10.2M,be BEL,Nott'ham Forest,GK,33-060,33,33,2970.0,0,0,3,0,0.0,0.0,0,1,0,0.0,0.0,0.0,0.0,1.18,74.7,39.4,0.0,N/a,0.0,N/a,N/a,441,50.1,16937,100.0,97.7,36.5,1,38,2,0,1,5,0.15,0,0.0,1,1,1,0,0,0,0,0,969,741,955,14,0,0,0,N/a,N/a,469,1436,0,0,0,0,0,375,0,0,10,0,0,9,14,2,87.5
253,Jack Hinshelwood,€9.2M,eng ENG,Brighton,"DF,MF",20-016,22,20,1676.0,2,2,5,0,1.5,1.3,16,59,46,0.11,0.21,0.08,0.07,N/a,N/a,N/a,N/a,42.9,0.32,0.14,14.4,799,83.4,12211,91.3,84.3,54.5,15,34,9,2,59,33,1.77,3,0.16,26,18,26,15,8,3,5,14,1099,49,306,507,291,26,9,11.1,77.8,527,1053,16,18,1,16,2,684,46,15,6,0,26,55,19,14,57.6
254,José Sá,€8.6M,pt POR,Wolves,GK,32-100,26,26,2340.0,0,0,2,0,0.0,0.1,0,2,0,0.0,0.0,0.0,0.01,1.69,62.3,26.9,33.3,N/a,0.0,N/a,N/a,513,63.3,13505,99.0,97.3,30.6,2,17,1,0,2,4,0.15,0,0.0,2,2,2,0,0,0,0,0,868,688,860,9,0,0,6,100.0,0.0,536,2059,0,0,0,1,0,425,0,4,8,0,0,29,8,0,100.0
255,Flynn Downes,€8.5M,eng ENG,Southampton,MF,26-097,23,21,1791.0,1,0,10,0,0.6,1.0,24,59,28,0.05,0.05,0.03,0.05,N/a,N/a,N/a,N/a,30.0,0.15,0.10,18.7,851,89.8,12498,92.6,91.8,67.4,15,52,11,0,59,30,1.51,2,0.1,43,23,31,18,22,6,16,30,1136,76,343,605,197,20,14,35.7,50.0,540,1551,24,21,4,12,17,805,28,45,33,0,3,73,13,13,50.0
256,Dan Burn,€8.4M,eng ENG,Newcastle Utd,DF,32-353,33,33,2970.0,1,0,10,0,1.8,0.9,9,57,10,0.03,0.03,0.05,0.03,N/a,N/a,N/a,N/a,25.0,0.15,0.05,10.0,1576,89.3,28609,91.0,94.8,61.8,8,35,7,0,57,21,0.64,3,0.09,33,19,32,15,32,23,9,26,2102,333,1181,823,103,46,4,75.0,25.0,1203,2360,9,5,1,21,3,1417,10,28,11,5,2,91,127,62,67.2
257,Rodrigo Muniz,€8.4M,br BRA,Fulham,FW,23-358,31,8,964.0,8,1,1,0,5.8,0.7,6,27,31,0.75,0.84,0.54,0.07,N/a,N/a,N/a,N/a,48.7,1.77,0.21,12.0,92,64.8,1540,67.6,68.9,84.6,7,13,3,0,27,17,1.59,2,0.19,10,5,4,0,9,2,7,5,311,14,27,161,127,55,18,33.3,50.0,157,187,6,4,3,47,24,237,31,11,31,3,1,14,67,63,51.5
258,Nélson Semedo,€8.3M,pt POR,Wolves,DF,31-162,30,29,2576.0,0,4,7,0,0.8,2.7,61,68,107,0.0,0.14,0.03,0.1,N/a,N/a,N/a,N/a,40.0,0.21,0.00,24.2,961,80.1,14664,90.9,82.8,47.0,21,62,25,11,68,51,1.78,6,0.21,55,31,49,21,27,10,17,22,1520,113,433,694,411,23,62,45.2,41.9,780,2306,61,36,9,37,19,872,107,43,27,3,57,116,27,40,40.3
259,Adama Traoré,€8.2M,es ESP,Fulham,"FW,MF",29-092,32,16,1568.0,2,6,2,0,3.8,4.6,85,61,143,0.11,0.46,0.22,0.26,N/a,N/a,N/a,N/a,30.6,0.63,0.06,14.4,383,71.9,5972,80.9,73.4,55.3,37,32,32,17,61,73,4.19,9,0.52,17,12,13,8,6,0,6,1,725,4,74,257,414,86,87,50.6,36.8,482,2196,85,41,33,31,20,549,143,20,29,1,90,77,24,25,49.0
260,Joe Aribo,€8M,ng NGA,Southampton,"MF,DF",28-280,30,20,1909.0,3,0,1,0,2.7,1.6,35,71,64,0.14,0.14,0.13,0.07,N/a,N/a,N/a,N/a,41.2,0.33,0.18,14.0,878,88.5,13041,91.3,90.9,68.9,16,50,4,1,71,37,1.75,1,0.05,44,30,34,17,24,9,15,20,1203,46,288,632,294,44,46,39.1,47.8,708,1923,35,28,12,25,16,879,64,20,28,1,10,110,25,21,54.3
261,Chris Wood,€7.9M,nz NZL,Nott'ham Forest,FW,33-141,31,30,2509.0,19,3,1,0,11.1,2.3,13,34,74,0.68,0.79,0.4,0.08,N/a,N/a,N/a,N/a,58.8,1.08,0.31,14.5,270,66.2,3704,71.1,66.4,68.4,17,14,8,1,34,39,1.4,5,0.18,4,4,8,7,11,7,4,5,637,32,76,307,256,79,11,36.4,54.5,316,430,13,9,5,63,23,472,74,22,20,24,1,40,80,117,40.6
262,Ethan Pinnock,€7.6M,jm JAM,Brentford,DF,31-333,22,21,1913.0,2,0,2,0,1.1,1.2,3,41,9,0.09,0.09,0.05,0.05,N/a,N/a,N/a,N/a,60.0,0.28,0.20,11.1,924,85.6,17045,94.2,89.4,57.9,8,48,4,1,41,21,0.99,0,0.0,35,19,24,11,29,18,11,24,1348,294,783,457,109,24,9,33.3,66.7,633,1633,3,4,0,2,4,760,9,8,4,0,9,50,63,43,59.4
263,Fabian Schär,€7.5M,ch SUI,Newcastle Utd,DF,33-128,30,29,2575.0,4,0,7,1,2.1,0.4,14,95,17,0.14,0.14,0.07,0.01,N/a,N/a,N/a,N/a,34.5,0.35,0.14,21.9,1457,83.6,29153,92.5,92.7,51.4,5,139,10,0,95,27,0.94,3,0.1,32,19,33,19,36,24,12,40,2033,235,1059,858,127,31,12,66.7,16.7,1281,3303,14,23,2,11,6,1416,17,31,12,4,9,123,40,61,39.6
264,Will Hughes,€7.3M,eng ENG,Crystal Palace,MF,30-010,29,21,1869.0,0,3,11,0,1.0,2.7,18,82,24,0.0,0.14,0.05,0.13,N/a,N/a,N/a,N/a,5.3,0.05,0.00,22.6,658,76.1,10532,88.6,82.7,36.7,29,69,14,3,82,61,2.94,6,0.29,61,33,59,32,29,14,15,19,1070,41,253,551,278,14,14,28.6,42.9,469,1120,18,22,1,19,24,594,24,60,30,0,65,107,17,17,50.0
265,Lewis Dunk,€7.1M,eng ENG,Brighton,DF,33-157,24,22,1993.0,0,0,5,0,0.8,0.5,20,140,3,0.0,0.0,0.04,0.02,N/a,N/a,N/a,N/a,25.0,0.14,0.00,12.1,1719,90.8,31990,96.2,95.1,62.6,6,154,6,0,140,18,0.81,3,0.14,17,10,19,8,26,17,9,12,2058,244,969,987,112,21,1,0.0,100.0,1294,3216,20,18,0,8,3,1508,3,7,9,2,5,101,49,30,62.0
266,Danny Welbeck,€5.9M,eng ENG,Brighton,FW,34-152,27,21,1852.0,9,4,4,0,8.1,1.1,19,40,81,0.44,0.63,0.39,0.05,N/a,N/a,N/a,N/a,37.7,0.97,0.17,15.2,352,84.0,4149,85.9,87.6,100.0,17,15,12,0,40,42,2.04,6,0.29,22,13,17,11,16,2,14,5,625,15,47,267,315,90,36,33.3,58.3,373,739,19,21,7,44,23,462,81,11,21,3,3,37,15,24,38.5
267,Joël Veltman,€5.9M,nl NED,Brighton,DF,33-102,19,19,1643.0,0,0,4,0,0.5,0.5,29,79,32,0.0,0.0,0.03,0.03,N/a,N/a,N/a,N/a,16.7,0.05,0.00,19.7,716,80.0,12082,89.8,80.6,63.3,6,61,8,5,79,22,1.21,1,0.05,42,28,51,21,22,7,15,18,1097,64,327,540,240,10,15,26.7,33.3,524,1414,29,22,3,19,7,598,32,26,42,0,23,67,21,18,53.8
268,Abdoulaye Doucouré,€5.8M,ml MLI,Everton,MF,32-116,30,29,2425.0,3,1,5,1,3.9,2.3,39,78,90,0.11,0.15,0.14,0.09,N/a,N/a,N/a,N/a,31.0,0.33,0.10,13.8,676,79.6,10229,85.1,83.1,72.7,26,44,14,0,78,54,2.0,2,0.07,45,27,39,26,30,6,24,9,1090,31,218,502,385,59,43,53.5,46.5,570,1324,39,23,8,33,35,704,90,46,5,10,23,139,29,43,40.3
269,Stefan Ortega,€5.8M,de GER,Manchester City,GK,32-172,13,12,1100.0,0,0,1,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,1.47,68.0,25.0,0.0,N/a,0.0,N/a,N/a,373,81.3,8327,97.1,96.9,51.3,0,6,0,0,0,0,0.0,0,0.0,0,0,1,1,0,0,0,0,492,383,489,3,0,0,0,N/a,N/a,323,864,0,0,0,0,0,309,0,1,2,0,0,8,2,0,100.0
270,Tyrone Mings,€5.7M,eng ENG,Aston Villa,DF,32-045,13,11,1051.0,0,0,1,0,0.8,0.2,6,39,0,0.0,0.0,0.07,0.02,N/a,N/a,N/a,N/a,11.1,0.09,0.00,11.8,581,88.6,10405,92.7,94.3,54.0,3,47,5,0,39,17,1.45,2,0.17,6,5,2,0,13,11,2,7,767,139,388,340,43,15,2,100.0,0.0,472,1333,6,12,0,3,1,523,0,3,9,0,1,33,26,21,55.3
271,Raúl Jiménez,€5.2M,mx MEX,Fulham,FW,33-357,34,26,2134.0,10,3,4,0,11.1,2.9,31,55,117,0.42,0.55,0.47,0.12,N/a,N/a,N/a,N/a,32.5,1.14,0.08,14.2,409,71.4,6193,81.2,74.5,61.2,17,34,10,3,55,54,2.28,6,0.25,28,18,18,12,19,5,14,9,884,30,106,377,414,148,45,40.0,53.3,495,966,31,20,16,61,41,651,117,35,36,14,20,70,72,83,46.5
272,Ben Davies,€5.1M,wls WAL,Tottenham,DF,32-003,12,10,946.0,0,0,3,0,0.3,0.2,13,48,6,0.0,0.0,0.03,0.02,N/a,N/a,N/a,N/a,20.0,0.1,0.00,17.0,704,90.0,13176,93.4,94.7,69.8,2,40,2,0,48,8,0.76,0,0.0,13,9,13,7,18,11,7,10,901,148,458,400,43,12,1,100.0,0.0,528,1576,13,9,0,4,0,618,6,11,4,0,4,31,41,33,55.4
273,Kieran Trippier,€4.5M,eng ENG,Newcastle Utd,DF,34-220,23,13,1192.0,0,3,1,0,0.1,1.3,25,106,52,0.0,0.23,0.01,0.1,N/a,N/a,N/a,N/a,0.0,0.0,0.00,22.2,941,82.1,16020,94.1,85.4,47.8,19,65,17,2,106,49,3.7,6,0.45,36,19,34,13,9,3,6,11,1264,45,353,549,370,12,7,57.1,42.9,563,1140,25,13,4,11,7,780,52,16,10,2,74,61,19,14,57.6
274,Jordan Ayew,€4.5M,gh GHA,Leicester City,"FW,MF",33-228,26,15,1356.0,4,0,5,0,2.9,0.8,39,34,76,0.27,0.27,0.19,0.05,N/a,N/a,N/a,N/a,26.9,0.46,0.12,18.5,333,72.5,4951,85.7,74.1,40.4,13,21,13,7,34,32,2.12,1,0.07,24,13,19,13,15,0,15,12,675,18,91,340,266,48,55,38.2,50.9,408,1226,39,30,8,51,32,452,76,28,45,5,51,84,33,54,37.9
275,Idrissa Gueye,€4.5M,sn SEN,Everton,MF,35-213,33,31,2705.0,0,3,8,0,1.1,1.7,24,126,23,0.0,0.1,0.04,0.06,N/a,N/a,N/a,N/a,18.5,0.17,0.00,25.2,1062,86.5,18071,90.7,90.5,74.0,19,130,10,3,126,56,1.86,3,0.1,123,74,87,33,44,9,35,41,1571,68,382,891,307,19,36,47.2,47.2,733,1501,24,25,4,30,33,895,23,51,39,0,7,177,22,15,59.5
276,Axel Tuanzebe,€4.3M,cd COD,Ipswich Town,DF,27-164,18,17,1445.0,0,1,5,1,0.2,0.3,9,45,8,0.0,0.06,0.01,0.02,N/a,N/a,N/a,N/a,0.0,0.0,0.00,15.7,535,83.1,8240,91.0,81.8,56.1,4,49,2,0,45,11,0.68,2,0.12,29,17,24,8,18,9,9,21,789,89,343,347,105,6,10,40.0,60.0,338,724,9,6,1,11,1,407,8,12,11,0,6,43,15,16,48.4
277,Matt Doherty,€4M,ie IRL,Wolves,DF,33-101,27,22,1901.0,2,1,6,0,1.0,1.5,29,75,39,0.09,0.14,0.05,0.07,N/a,N/a,N/a,N/a,30.0,0.14,0.20,11.4,968,82.5,18122,90.1,86.4,62.4,11,86,14,1,75,24,1.14,3,0.14,36,20,22,7,26,15,11,21,1389,114,540,687,179,25,20,55.0,30.0,726,2032,29,19,4,11,5,879,39,18,11,2,18,98,48,19,71.6
278,Christian Eriksen,€3.9M,dk DEN,Manchester Utd,MF,33-072,19,11,993.0,0,1,4,0,0.3,2.6,10,49,28,0.0,0.09,0.02,0.24,N/a,N/a,N/a,N/a,12.5,0.09,0.00,26.2,543,79.5,9068,92.2,80.0,49.1,22,53,8,2,49,43,3.89,6,0.54,19,9,24,13,13,4,9,7,771,24,160,375,240,12,3,0.0,100.0,421,662,10,10,0,11,5,511,28,8,3,0,74,59,2,5,28.6
279,Ryan Manning,€3.8M,ie IRL,Southampton,"DF,MF",28-317,22,17,1369.0,0,1,2,0,0.3,3.0,13,32,70,0.0,0.07,0.02,0.2,N/a,N/a,N/a,N/a,14.3,0.07,0.00,20.8,572,78.2,9545,92.4,81.3,45.0,30,26,11,8,32,45,2.96,3,0.2,28,17,26,12,19,11,8,16,883,67,237,359,296,21,33,33.3,42.4,446,889,13,13,4,17,5,527,70,19,30,0,77,61,13,5,72.2
280,Conor Coady,€2.3M,eng ENG,Leicester City,DF,32-061,18,15,1354.0,0,0,2,0,0.1,0.1,2,28,0,0.0,0.0,0.01,0.0,N/a,N/a,N/a,N/a,100.0,0.07,0.00,9.2,759,90.6,13101,96.7,96.7,52.3,1,31,2,0,28,4,0.27,0,0.0,11,8,4,2,26,19,7,12,954,184,518,420,17,6,3,66.7,33.3,632,1396,2,3,1,4,2,701,0,7,2,1,0,46,13,16,44.8
281,Wes Burns,€2.1M,wls WAL,Ipswich Town,"FW,DF",30-155,18,12,926.0,0,1,1,0,0.5,1.6,38,8,65,0.0,0.1,0.05,0.16,N/a,N/a,N/a,N/a,14.3,0.1,0.00,18.3,153,60.5,2416,80.4,65.4,38.9,10,8,8,7,8,16,1.55,1,0.1,13,11,10,6,7,2,5,10,350,21,69,129,160,18,24,37.5,58.3,216,696,38,13,10,17,13,220,65,4,11,0,46,50,8,21,27.6
282,Jannik Vestergaard,€2M,dk DEN,Leicester City,DF,32-267,18,16,1391.0,0,0,5,0,0.1,0.1,3,32,2,0.0,0.0,0.01,0.01,N/a,N/a,N/a,N/a,66.7,0.13,0.00,9.7,870,90.7,14697,95.0,93.7,59.3,3,34,1,0,32,7,0.45,0,0.0,22,10,15,6,21,14,7,16,1092,196,572,497,28,10,4,100.0,0.0,672,1458,3,3,0,2,0,757,2,12,4,0,0,46,26,19,57.8
283,Luke Woolfenden,€2M,eng ENG,Ipswich Town,DF,26-188,14,11,1097.0,0,0,2,0,0.0,0.0,7,16,0,0.0,0.0,0.0,0.0,N/a,N/a,N/a,N/a,0.0,0.0,0.00,12.9,450,87.9,8267,96.6,93.5,52.2,0,27,0,0,16,2,0.16,0,0.0,9,6,5,3,21,14,7,18,637,139,365,263,9,3,0,N/a,N/a,338,1153,7,3,0,4,0,398,0,5,2,1,0,35,15,12,55.6
284,Cameron Burgess,€1.7M,au AUS,Ipswich Town,DF,29-188,16,14,1361.0,0,1,0,0,0.7,0.5,2,40,4,0.0,0.07,0.05,0.03,N/a,N/a,N/a,N/a,11.1,0.07,0.00,9.7,541,80.7,9847,90.8,86.5,50.9,6,42,4,0,40,12,0.79,2,0.13,14,9,9,2,18,13,5,13,849,203,510,296,44,21,0,N/a,N/a,391,935,2,4,0,2,0,491,4,4,4,1,0,37,38,19,66.7
285,Adam Smith,€1.5M,eng ENG,Bournemouth,DF,33-363,21,16,1319.0,0,0,5,0,0.7,0.2,12,39,31,0.0,0.0,0.04,0.02,N/a,N/a,N/a,N/a,0.0,0.0,0.00,16.9,415,75.7,6761,87.7,78.8,35.3,6,39,6,3,39,17,1.16,1,0.07,20,10,23,12,10,3,7,14,671,34,205,316,154,6,15,40.0,40.0,293,577,12,15,0,10,6,320,31,13,10,0,28,40,12,12,50.0
286,Craig Dawson,€1.5M,eng ENG,Wolves,DF,34-356,15,10,971.0,0,0,2,0,0.5,0.0,6,20,5,0.0,0.0,0.05,0.0,N/a,N/a,N/a,N/a,20.0,0.09,0.00,8.5,484,86.6,9745,92.5,93.0,60.0,2,22,1,0,20,7,0.65,2,0.19,15,3,15,3,16,11,5,9,671,130,396,249,28,14,5,20.0,40.0,390,938,6,1,0,2,0,443,5,6,5,2,0,35,21,11,65.6
287,Jack Stephens,€1.4M,eng ENG,Southampton,DF,31-090,16,14,1164.0,1,0,2,2,0.6,0.2,13,50,2,0.08,0.08,0.04,0.01,N/a,N/a,N/a,N/a,50.0,0.15,0.25,11.0,750,91.9,12965,92.9,94.3,81.3,3,46,5,0,50,12,0.93,0,0.0,31,18,26,11,14,9,5,11,934,106,386,458,94,11,4,0.0,100.0,520,1127,13,11,1,2,3,655,2,12,4,1,1,41,6,8,42.9
288,Ashley Young,€1.3M,eng ENG,Everton,"DF,FW",39-292,28,17,1613.0,1,3,6,1,0.3,1.6,20,82,26,0.06,0.22,0.01,0.09,N/a,N/a,N/a,N/a,50.0,0.17,0.17,24.5,606,70.0,11151,87.9,76.1,40.4,19,71,18,9,82,37,2.06,6,0.33,50,28,50,19,10,3,7,23,1034,51,314,448,277,9,14,35.7,50.0,409,1210,20,24,1,8,1,528,26,24,17,0,64,61,10,10,50.0
289,Sam Morsy,€1.3M,eg EGY,Ipswich Town,MF,33-229,29,27,2419.0,1,1,9,0,0.3,0.8,14,103,10,0.04,0.07,0.01,0.03,N/a,N/a,N/a,N/a,22.2,0.07,0.11,26.3,1084,86.3,17420,93.2,91.5,57.9,18,128,13,2,103,39,1.45,2,0.07,60,34,56,31,31,12,19,28,1468,85,439,834,209,4,20,60.0,30.0,747,1720,14,20,2,15,10,983,10,44,23,0,12,137,16,23,41.0
290,Jamie Vardy,€1.2M,eng ENG,Leicester City,FW,38-106,32,32,2571.0,7,3,5,0,10.2,2.9,27,20,108,0.25,0.35,0.36,0.1,N/a,N/a,N/a,N/a,40.0,0.7,0.12,12.1,238,66.9,3414,74.3,76.2,68.4,18,10,9,1,20,42,1.47,9,0.31,18,13,12,8,8,4,4,3,540,28,54,252,239,101,20,45.0,50.0,255,621,27,11,14,33,12,350,108,21,20,25,11,34,49,51,49.0
291,Łukasz Fabiański,€0.9M,pl POL,West Ham,GK,40-009,13,12,1070.0,0,0,2,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,1.68,74.6,16.7,0.0,N/a,0.0,N/a,N/a,304,67.0,8756,100.0,99.3,41.3,0,4,0,0,0,3,0.25,0,0.0,0,0,1,1,0,0,0,0,488,382,483,5,0,0,2,100.0,0.0,258,845,0,0,0,0,0,227,0,2,1,0,0,5,2,1,66.7
